Milestone	Epic	Labels	Status	Title	URL
1) Pre-MVP	Preparation and Research	Draft	In progress	Create Sequence Diagrams for MVP	https://github.com/dominikoetiker/TheMentalLoadHub/issues/5
1) Pre-MVP	Preparation and Research	Draft	Done	Create Class Diagrams for MVP	https://github.com/dominikoetiker/TheMentalLoadHub/issues/4
1) Pre-MVP	Preparation and Research	Draft	Done	Create Use Case Diagrams	https://github.com/dominikoetiker/TheMentalLoadHub/issues/2
1) Pre-MVP	Preparation and Research	Tech Stack / Environment	Done	Create DB Schema	https://github.com/dominikoetiker/TheMentalLoadHub/issues/11
1) Pre-MVP	Preparation and Research	Draft	Done	Create ERD	https://github.com/dominikoetiker/TheMentalLoadHub/issues/1
1) Pre-MVP	Preparation and Research	Tech Stack / Environment	Done	Create initial file structure.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/102
1) Pre-MVP	Preparation and Research	Project Management Task	Done	Create User Stories	https://github.com/dominikoetiker/TheMentalLoadHub/issues/9
1) Pre-MVP	Preparation and Research	Draft	To Do	Create Wireframes for MVP	https://github.com/dominikoetiker/TheMentalLoadHub/issues/3
2) MVP	Preparation and Research	Tech Stack / Environment	Backlog	Prepare Hosting	https://github.com/dominikoetiker/TheMentalLoadHub/issues/6
2) MVP	Account Management	User Story	Backlog	As a user, I want to be able to create a new *household* so that I can start using the app for that *household*.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/12
2) MVP	Account Management	User Story	Backlog	As a user, I want to be the administrator of a *household* that I created, so that I can manage this *household*.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/13
2) MVP	Account Management	User Story	Backlog	As an administrator, I want to be able to remove a *household*, which I am administrator of, so that its content is permanently deleted.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/15
2) MVP	Account Management	User Story	Backlog	As an administrator, I want to change the name of the *household* so that it accurately reflects the group of users.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/16
2) MVP	Account Management	User Story	Backlog	As an administrator, I want the same authorizations as *user* so that I can also act as a *user*.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/17
2) MVP	Account Management	User Story	Backlog	As an administrator, I want to invite new members to join the *household* as *users* so that they can participate and use the app.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/18
